Player_ID,Player,Display_Name,Player_Slug,NBA_Player_ID,Headshot_URL,Headshot_Source,Headshot_Status,Acquisition_Need,HTTP_Status,Content_Type,Verification_Status,Has_Headshot,Original_NBA_CDN_URL
P000491,Bob Verga,Bob Verga,bob-verga,78413.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78413.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78413.png
P000492,Bob Warlick,Bob Warlick,bob-warlick,78459.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78459.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78459.png
P000493,Bob Weiss,Bob Weiss,bob-weiss,78485.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78485.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78485.png
P000494,Bob Wiesenhahn,Bob Wiesenhahn,bob-wiesenhahn,78522.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78522.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78522.png
P000495,Bob Wilkerson,Bob Wilkerson,bob-wilkerson,78531.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78531.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78531.png
P000496,Bob Williams,Bob Williams,bob-williams,78564.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78564.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78564.png
P000497,Bob Wilson,Bob Wilson,bob-wilson,78586.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78586.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78586.png
P000498,Boban Marjanović,Boban Marjanović,boban-marjanovi,1626246.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626246.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000499,Bobby Brown,Bobby Brown,bobby-brown,201628.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201628.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000500,Bobby Cattage,Bobby Cattage,bobby-cattage,76368.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76368.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/76368.png
P000501,Bobby Hurley,Bobby Hurley,bobby-hurley,310.0,https://cdn.nba.com/headshots/nba/latest/1040x760/310.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/310.png
P000502,Bobby Jackson,Bobby Jackson,bobby-jackson,1517.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1517.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1517.png
P000503,Bobby Jones,Bobby Jones,bobby-jones-p000503,,,NBA CDN,verified,verify_alternate_headshot,,,verified,True,
P000504,Bobby Jones*,Bobby Jones*,bobby-jones-p000504,77193.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77193.png,NBA CDN,verified,visual_verification,200.0,image/avif,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77193.png
P000505,Bobby Lewis,Bobby Lewis,bobby-lewis,77385.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77385.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77385.png
P000506,Bobby Phills,Bobby Phills,bobby-phills,184.0,https://cdn.nba.com/headshots/nba/latest/1040x760/184.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/184.png
P000507,Bobby Portis,Bobby Portis,bobby-portis,1626171.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626171.png,NBA CDN,verified,none,200.0,image/avif,verified,True,
P000508,Bobby Simmons,Bobby Simmons,bobby-simmons,2250.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2250.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000509,Bobby Smith,Bobby Smith,bobby-smith,78203.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78203.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78203.png
P000510,Bobby Wanzer,Bobby Wanzer,bobby-wanzer-p000510,78453.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78453.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78453.png
P000511,Bobby Wanzer*,Bobby Wanzer*,bobby-wanzer-p000511,78453.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78453.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78453.png
P000512,Bobby Washington,Bobby Washington,bobby-washington,78469.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78469.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78469.png
P000513,Bobby Watson,Bobby Watson,bobby-watson,,,NBA CDN,verified,verify_alternate_headshot,,,verified,True,
P000514,Bobby Wilson,Bobby Wilson,bobby-wilson,78585.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78585.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78585.png
P000515,Bobi Klintman,Bobi Klintman,bobi-klintman,1641752.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641752.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000516,Bogdan Bogdanović,Bogdan Bogdanović,bogdan-bogdanovi,203992.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203992.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000517,Bojan Bogdanović,Bojan Bogdanović,bojan-bogdanovi,202711.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202711.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000518,Bol Bol,Bol Bol,bol-bol,1629626.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629626.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000519,Bones Hyland,Bones Hyland,bones-hyland,1630538.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630538.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000520,Bones McKinney,Bones McKinney,bones-mckinney,,,NBA CDN,verified,verify_alternate_headshot,,,verified,True,
P000521,Boniface N'Dong,Boniface N'Dong,boniface-n-dong,101238.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101238.png,NBA CDN,verified,visual_verification,200.0,image/avif,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/101238.png
P000522,Bonzi Wells,Bonzi Wells,bonzi-wells,1719.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1719.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000523,Bonzie Colson,Bonzie Colson,bonzie-colson,1629045.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629045.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000524,Boo Ellis,Boo Ellis,boo-ellis,,,NBA CDN,verified,verify_alternate_headshot,,,verified,True,
P000525,Boris Diaw,Boris Diaw,boris-diaw,2564.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2564.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000526,Boris Nachamkin,Boris Nachamkin,boris-nachamkin,77682.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77682.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77682.png
P000527,Boštjan Nachbar,Boštjan Nachbar,bo-tjan-nachbar,2411.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2411.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000528,Bracey Wright,Bracey Wright,bracey-wright,101152.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101152.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/101152.png
P000529,Brad Branson,Brad Branson,brad-branson,76239.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76239.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/76239.png
P000530,Brad Daugherty,Brad Daugherty,brad-daugherty,921.0,https://cdn.nba.com/headshots/nba/latest/1040x760/921.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/921.png
P000531,Brad Davis,Brad Davis,brad-davis,76516.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76516.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/76516.png
P000532,Brad Holland,Brad Holland,brad-holland,77040.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77040.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77040.png
P000533,Brad Lohaus,Brad Lohaus,brad-lohaus,38.0,https://cdn.nba.com/headshots/nba/latest/1040x760/38.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/38.png
P000534,Brad Miller,Brad Miller,brad-miller,1802.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1802.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000535,Brad Sellers,Brad Sellers,brad-sellers,78110.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78110.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78110.png
P000536,Brad Wanamaker,Brad Wanamaker,brad-wanamaker,202954.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202954.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000537,Brad Wright,Brad Wright,brad-wright,78620.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78620.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78620.png
P000538,Bradley Beal,Bradley Beal,bradley-beal,203078.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203078.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000539,Brady Walker,Brady Walker,brady-walker,78434.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78434.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78434.png
P000540,Brandan Wright,Brandan Wright,brandan-wright,201148.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201148.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000541,Branden Carlson,Branden Carlson,branden-carlson,1642382.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642382.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000542,Branden Dawson,Branden Dawson,branden-dawson,1626183.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626183.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000543,Brandin Knight,Brandin Knight,brandin-knight,2688.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2688.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2688.png
P000544,Brandin Podziemski,Brandin Podziemski,brandin-podziemski,1641764.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641764.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000545,Brandon Armstrong,Brandon Armstrong,brandon-armstrong,2220.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2220.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2220.png
P000546,Brandon Bass,Brandon Bass,brandon-bass,101138.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101138.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000547,Brandon Boston Jr.,Brandon Boston Jr.,brandon-boston-jr,1630527.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630527.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000548,Brandon Clarke,Brandon Clarke,brandon-clarke,1629634.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629634.png,NBA CDN,verified,manual_identity_research,,,verified,True,
