Player_ID,Player,Display_Name,Player_Slug,NBA_Player_ID,Headshot_URL,Headshot_Source,Headshot_Status,Acquisition_Need,HTTP_Status,Content_Type,Verification_Status,Qualified_Profile,Qualified_Seasons
P002237,Jaylen Clark,Jaylen Clark,jaylen-clark,1641740.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641740.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002238,Jaylen Hoard,Jaylen Hoard,jaylen-hoard,1629658.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629658.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002239,Jaylen Martin,Jaylen Martin,jaylen-martin,1641798.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641798.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002240,Jaylen Morris,Jaylen Morris,jaylen-morris,1628537.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628537.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002241,Jaylen Nowell,Jaylen Nowell,jaylen-nowell,1629669.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629669.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002242,Jaylen Sims,Jaylen Sims,jaylen-sims,1631301.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631301.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002243,Jaylen Wells,Jaylen Wells,jaylen-wells,1642377.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642377.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002244,Jaylin Williams,Jaylin Williams,jaylin-williams,1631119.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631119.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002245,Jaylon Tyson,Jaylon Tyson,jaylon-tyson,1642281.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642281.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002246,Jaysean Paige,Jaysean Paige,jaysean-paige,1629873.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629873.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002247,Jayson Kent,Jayson Kent,jayson-kent,1643257.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1643257.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002248,Jayson Tatum,Jayson Tatum,jayson-tatum,1628369.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002249,Jayson Williams,Jayson Williams,jayson-williams,420.0,https://cdn.nba.com/headshots/nba/latest/1040x760/420.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002250,Jazian Gortman,Jazian Gortman,jazian-gortman,1641789.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641789.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002251,Jeff Adrien,Jeff Adrien,jeff-adrien,202399.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202399.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002252,Jeff Ayres,Jeff Ayres,jeff-ayres,201965.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201965.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002253,Jeff Cook,Jeff Cook,jeff-cook,76436.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76436.png,NBA CDN,candidate,manual_identity_research,,,,True,0
