Player_ID,Player,NBA_Player_ID,Headshot_URL,Headshot_Status,Verification_Status
P000883,Cliff Hagan*,76912.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76912.png,candidate,
P000882,Cliff Hagan,76912.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76912.png,candidate,
P000106,Alex Hannum,76937.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76937.png,candidate,
P000107,Alex Hannum*,76937.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76937.png,candidate,
P002499,John Havlicek*,76970.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76970.png,candidate,
P002498,John Havlicek,76970.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76970.png,candidate,
P000921,Connie Hawkins*,76972.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76972.png,candidate,
P000920,Connie Hawkins,76972.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76972.png,candidate,
P001540,Elvin Hayes*,76979.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76979.png,candidate,
P001539,Elvin Hayes,76979.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76979.png,candidate,
P004274,Spencer Haywood*,76981.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76981.png,candidate,
P004273,Spencer Haywood,76981.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76981.png,candidate,
P004493,Tom Heinsohn*,76988.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76988.png,candidate,
P004492,Tom Heinsohn,76988.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76988.png,candidate,
P003868,Red Holzman*,77050.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77050.png,candidate,
P003867,Red Holzman,77050.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77050.png,candidate,
P000462,Bob Houbregs*,77062.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77062.png,candidate,
P000461,Bob Houbregs,77062.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77062.png,candidate,
P000308,Bailey Howell*,77070.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77070.png,candidate,
P000307,Bailey Howell,77070.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77070.png,candidate,
P003066,Lou Hudson*,77074.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77074.png,candidate,
P003065,Lou Hudson,77074.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77074.png,candidate,
P001024,Dan Issel*,77097.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77097.png,candidate,
P001023,Dan Issel,77097.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77097.png,candidate,
P003748,Phil Jackson,77106.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77106.png,candidate,
P003749,Phil Jackson*,77106.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77106.png,candidate,
P001213,Dennis Johnson,77141.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77141.png,candidate,
P001214,Dennis Johnson*,77141.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77141.png,candidate,
P003117,Magic Johnson*,77142.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77142.png,candidate,
P003116,Magic Johnson,77142.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77142.png,candidate,
P001850,Gus Johnson*,77150.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77150.png,candidate,
P001849,Gus Johnson,77150.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77150.png,candidate,
P003531,Neil Johnston*,77169.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77169.png,candidate,
P003530,Neil Johnston,77169.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77169.png,candidate,
P002698,K.C. Jones,77188.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77188.png,candidate,
P002699,K.C. Jones*,77188.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77188.png,candidate,
P004118,Sam Jones*,77196.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77196.png,candidate,
P004117,Sam Jones,77196.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77196.png,candidate,
P001741,George Karl*,77223.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77223.png,candidate,
P001740,George Karl,77223.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77223.png,candidate,
P000349,Bernard King,77264.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77264.png,candidate,
P000350,Bernard King*,77264.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77264.png,candidate,
P001464,Earl Lloyd,77394.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77394.png,candidate,
P001465,Earl Lloyd*,77394.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77394.png,candidate,
P000901,Clyde Lovellette,77414.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77414.png,candidate,
P000902,Clyde Lovellette*,77414.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77414.png,candidate,
P002329,Jerry Lucas*,77418.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77418.png,candidate,
P002328,Jerry Lucas,77418.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77418.png,candidate,
P001482,Ed Macauley,77429.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77429.png,candidate,
P001483,Ed Macauley*,77429.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77429.png,candidate,
P003476,Moses Malone*,77449.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77449.png,candidate,
P003475,Moses Malone,77449.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77449.png,candidate,
