Category,RouteB_Rank,Player_ID,Player,Current_Scoring,RouteB_Scoring,Current_Efficiency,RouteB_Efficiency,Current_Creation,RouteB_Creation,Current_Rebounding,RouteB_Rebounding,Current_Defense,RouteB_Defense,Current_Impact,RouteB_Impact,Current_Overall_SDI,RouteB_Overall_SDI
Scoring,1,joel-embiid,Joel Embiid,99.84928330522766,100.0,,,,,,,,,,,,
Scoring,2,luka-don-i,Luka Dončić,99.693718381113,99.91568296795953,,,,,,,,,,,,
Scoring,3,michael-jordan,Michael Jordan,99.52171163575042,99.83136593591905,,,,,,,,,,,,
Scoring,4,kobe-bryant,Kobe Bryant,99.1254215851602,99.74704890387858,,,,,,,,,,,,
Scoring,5,lebron-james,LeBron James,98.83579258010118,99.6627318718381,,,,,,,,,,,,
Scoring,6,allen-iverson,Allen Iverson,98.79510961214166,99.57841483979765,,,,,,,,,,,,
Scoring,7,trae-young,Trae Young,98.56070826306916,99.49409780775717,,,,,,,,,,,,
Scoring,8,dominique-wilkins,Dominique Wilkins,98.50990725126476,99.4097807757167,,,,,,,,,,,,
Scoring,9,shai-gilgeous-alexander,Shai Gilgeous-Alexander,98.50632377740304,99.32546374367622,,,,,,,,,,,,
Scoring,10,kevin-durant,Kevin Durant,98.43444350758854,99.24114671163575,,,,,,,,,,,,
Scoring,11,dwyane-wade,Dwyane Wade,98.43001686340642,99.15682967959528,,,,,,,,,,,,
Scoring,12,john-drew,John Drew,98.20025295109612,99.0725126475548,,,,,,,,,,,,
Scoring,13,karl-malone,Karl Malone,98.17348229342328,98.98819561551433,,,,,,,,,,,,
Scoring,14,george-gervin,George Gervin,98.16209949409782,98.90387858347385,,,,,,,,,,,,
Scoring,15,demarcus-cousins,DeMarcus Cousins,98.1412310286678,98.8195615514334,,,,,,,,,,,,
Scoring,16,shaquille-o-neal,Shaquille O'Neal,97.78182967959528,98.73524451939292,,,,,,,,,,,,
Scoring,17,giannis-antetokounmpo,Giannis Antetokounmpo,97.72449409780776,98.65092748735245,,,,,,,,,,,,
Scoring,18,anthony-davis,Anthony Davis,97.61846543001688,98.56661045531197,,,,,,,,,,,,
Scoring,19,devin-booker,Devin Booker,97.34464586846543,98.4822934232715,,,,,,,,,,,,
Scoring,20,carmelo-anthony,Carmelo Anthony,97.29258010118043,98.39797639123103,,,,,,,,,,,,
Scoring,21,world-b-free,World B. Free,97.27192242833053,98.31365935919055,,,,,,,,,,,,
Scoring,22,damian-lillard,Damian Lillard,97.02318718381112,98.22934232715008,,,,,,,,,,,,
Scoring,23,mark-aguirre,Mark Aguirre,97.0170741989882,98.14502529510962,,,,,,,,,,,,
Scoring,24,tracy-mcgrady,Tracy McGrady,96.964586846543,98.06070826306915,,,,,,,,,,,,
Scoring,25,russell-westbrook,Russell Westbrook,96.74367622259696,97.97639123102867,,,,,,,,,,,,
Efficiency,1,kevin-durant,Kevin Durant,,,96.38642682076603,100.0,,,,,,,,,,
Efficiency,2,karl-anthony-towns,Karl-Anthony Towns,,,96.2369008582221,99.91568296795953,,,,,,,,,,
Efficiency,3,stephen-curry,Stephen Curry,,,96.09494135115708,99.83136593591905,,,,,,,,,,
Efficiency,4,steve-nash,Steve Nash,,,95.40273800588729,99.74704890387858,,,,,,,,,,
Efficiency,5,brent-barry,Brent Barry,,,95.26537312859548,99.6627318718381,,,,,,,,,,
Efficiency,6,john-stockton,John Stockton,,,94.9793673669334,99.57841483979765,,,,,,,,,,
Efficiency,7,reggie-miller,Reggie Miller,,,94.94456500047583,99.49409780775717,,,,,,,,,,
Efficiency,8,jakob-poeltl,Jakob Poeltl,,,94.5924515046258,99.4097807757167,,,,,,,,,,
Efficiency,9,joe-harris,Joe Harris,,,94.58410215801986,99.32546374367622,,,,,,,,,,
Efficiency,10,nikola-joki,Nikola Jokić,,,94.47817054478236,99.24114671163575,,,,,,,,,,
Efficiency,11,chris-mullin,Chris Mullin,,,93.82871879185376,99.15682967959528,,,,,,,,,,
Efficiency,12,james-donaldson,James Donaldson,,,93.76244891763494,99.0725126475548,,,,,,,,,,
Efficiency,13,duncan-robinson,Duncan Robinson,,,93.58240216606012,98.98819561551433,,,,,,,,,,
Efficiency,14,john-collins,John Collins,,,93.38601463148645,98.90387858347385,,,,,,,,,,
Efficiency,15,kawhi-leonard,Kawhi Leonard,,,93.38570425829364,98.8195615514334,,,,,,,,,,
Efficiency,16,mario-elie,Mario Elie,,,92.3623610753076,98.73524451939292,,,,,,,,,,
Efficiency,17,kiki-vandeweghe,Kiki Vandeweghe,,,92.047798217142,98.65092748735245,,,,,,,,,,
Efficiency,18,jeff-hornacek,Jeff Hornacek,,,91.514563226299,98.56661045531197,,,,,,,,,,
